event_time,weight,outcome_group,outcome_type,treat_mean,control_mean
7,emw,all,net_spending,1184.52472859164,506.388101216231
8,emw,all,net_spending,1276.17607034952,512.045252397493
9,emw,all,net_spending,1336.02180263588,563.017960238619
-4,emw,ce,spending,9.51063337631255,9.84756333793212
-3,emw,ce,spending,9.53973726914034,10.3137939777343
-2,emw,ce,spending,10.5550097372779,11.6042936786917
-1,emw,ce,spending,11.2246600944262,12.5104098668956
0,emw,ce,spending,12.4344693991368,13.9262138158535
1,emw,ce,spending,13.8830047318084,15.5897945176789
2,emw,ce,spending,15.9884114951109,18.0992128466878
3,emw,ce,spending,18.528462647184,21.2677729474942
4,emw,ce,spending,22.9145922342785,27.5460545339205
5,emw,ce,spending,27.1053350227718,33.9022112723079
6,emw,ce,spending,31.8703002766236,42.8202874723268
7,emw,ce,spending,38.7162793379792,49.7844692739597
8,emw,ce,spending,40.3720485117962,59.982771461886
9,emw,ce,spending,45.175307107938,59.1496129198405
